conjectures for r_k r_n-1 r_n
n       k's
3       []
4       [2]
5       [2, 3]
6       [2, 4]
7       [2, 3, 4, 5]
8       [2, 4, 6]
9       [2, 3, 6, 7]
10      [2, 4, 6, 8]
11      [2, 3, 4, 5, 6, 7, 8, 9]
12      [2, 4, 6, 8, 10]
13      [2, 3, 6, 7, 10, 11]
14      [2, 4, 6, 8, 10, 12]
15      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
16      [2, 4, 6, 8, 10, 12, 14]
17      [2, 3, 6, 7, 10, 11, 14, 15]
18      [2, 4, 6, 8, 10, 12, 14, 16]
19      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
20      [2, 4, 6, 8, 10, 12, 14, 16, 18]
21      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19]
22      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
23      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
24      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22]
25      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23]
26      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24]
27      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
28      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26]
29      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23, 26, 27]
30      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]
31      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
32      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]
33      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23, 26, 27, 30, 31]
34      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32]
35      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
36      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34]
37      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23, 26, 27, 30, 31, 34, 35]
38      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36]
39      [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]
40      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]
41      [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23, 26, 27, 30, 31, 34, 35, 38, 39]
42      [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40]
